Authors,Year,Title,Otherbibinfo,DOIorURI,WhatReviewed,Type,Discipline,ExDef,ImDef,OpenIdentities,OpenReports,OpenInteraction,OpenParticipation,OpeninTime,OpenPlatforms
"Ryter, Stefan W.; Choi, Augustine M. K.",2013,Testing the Rebound Peer Review Concept,ANTIOXIDANTS & REDOX SIGNALINGÿÿVolume:ÿ19ÿÿÿIssue:ÿ7ÿÿÿPages:ÿ639-643,10.1089/ars.2013.5431,Journal articles,Article,STEM,"""open referees, recruited by the authors, voluntarily accept to be named and for their rescue comments to be published alongside the finished article""",,1,1,0,0,0,0
"Grandjean, Philippe; Ozonoff, David",2013,Transparency and translation of science in a modern world,ENVIRONMENTAL HEALTHÿÿVolume:ÿ12ÿÿÿÿÿArticle Number:ÿ70,10.1186/1476-069X-12-70,Journal articles,Article,STEM,"""The transparency provided by Environmental Health includes open access and open peer review, with reader access to reviews, including the identity of reviewers and their statements on possible conflicts of interest""",,1,1,0,0,0,0
"Ford, Emily",2013,Defining and CharacterizingÿOpen Peer Review: A Review of the Literature,JOURNAL OF SCHOLARLY PUBLISHINGÿÿVolume:ÿ44ÿÿÿIssue:ÿ4ÿÿÿPages:ÿ311-326ÿ,10.3138/jsp.44-4-001,Journal articles,Article,Interdisciplinary,"""Despite the differing definitions and implementations of open peer review discussed in the literature, its general treatment suggests that the process incorporates disclosure of authors? and reviewers? identities at some point during an article?s review and publication.... Five characteristics describe the openness of the review process: signed review, disclosed review, editor-mediated review, transparent review, and crowdsourced review. Three additional characteristics describe review timing, similar to traditional peer review: pre-publication review, synchronous review, and post-publication review. Most open peer review implementations exhibit more than one openness characteristic and may also exhibit more than one timing characteristic.""",,1,1,1,1,1,0
"Sconfienza, Luca Maria; Sardanelli, Francesco",2013,Radiological journals in the online world: should we think Open?,EUROPEAN RADIOLOGYÿÿVolume:ÿ23ÿÿÿIssue:ÿ5ÿÿÿPages:ÿ1175-1177,10.1007/s00330-012-2756-z,Journal articles,Article,STEM,"""The open review process implies that not only are the reviewers aware of the authors? name/affiliation and vice versa, but also that the complete review process (i.e., reviewers? comments, authors? reply to reviewers, etc.) gets published online along with the final paper.""",,1,1,0,0,0,0
"Acord, Sophia Krzys; Harley, Diane",2013,"Credit, time, and personality: The human challenges to sharing scholarly work using Web 2.0",NEW MEDIA & SOCIETYÿÿVolume:ÿ15ÿÿÿIssue:ÿ3ÿÿÿSpecial Issue:ÿSIÿÿÿPages:ÿ379-397ÿ,10.1177/1461444812465140,,Article,SSH,"""As reviewed in Harley and Acord (2011: 45?48), there have been a variety of experiments across disciplines with the online peer review of manuscripts submitted for publication, where commentary is openly solicited and shared by random readers, colleagues, and sometimes editor-invited reviewers, rather than exclusively organized by editors.""",,0,0,0,1,0,0
"Guenther, Rolf W.; Dixon, Adrian K.",2013,Radiological journals in the online world: should we think Open? A response,EUROPEAN RADIOLOGYÿÿVolume:ÿ23ÿÿÿIssue:ÿ5ÿÿÿPages:ÿ1178-1180,10.1007/s00330-013-2777-2,Journal articles,Article,STEM,,"""regarding a potential ?open review process? ... This concept represents a departure from the anonymous peer review process; it eliminates current deficits, enhances dialogue in the research community and should lead to more transparency""",1,0,0,0,0,0
"Edmunds, Scott C.",2013,Peering into peer-review at GigaScience,GIGASCIENCEÿÿVolume:ÿ2ÿÿÿÿÿArticle Number:ÿ1ÿ,10.1186/2047-217X-2-1,"Data, Journal articles",Article,STEM,,"As in Gigascience (from website ""GigaScience promotes open (non-anonymous) peer-review. As a default, we will pass a reviewer's name on to the authors along with the comments. However, if reviewers do not wish to have their name revealed, we will honor that request. Reviewers are also asked to declare any competing interests and to agree to Open Peer Review, which works on two levels: the authors receive the signed report (unless the referee specifically opts out) and, if the manuscript is published, the same report will be made available to the readers."")",1,1,0,0,0,0
"Kriegeskorte, Nikolaus",2012,Open evaluation: a vision for entirely transparent post-publication peer review and rating for science,FRONTIERS IN COMPUTATIONAL NEUROSCIENCEÿÿVolume:ÿ6ÿÿÿÿÿArticle Number:ÿ79,10.3389/fncom.2012.00079,,Article,Interdisciplinary,,"""In the current system, scientists are approached by editors and asked to review new papers. They regularly comply. In the new system, they will be approached similarly often through peer-to-peer editing with the same request ? only the reviews will be public. There is some evidence that potential reviewers are more likely to decline to review when they are told that their name will be revealed to the authors (van Rooyen et al., 1999) or that their review might be publicly posted (van Rooyen et al., 2010). This reflects the culture of the current system, in which the reviewer expects no benefits, except the opportunity to read new work, to help improve it, and to contribute to the publication decision. In this context, removing anonymity appears to have no upside and could pose a threat. In the future system, however, reviews will be mini-publications that bring substantial benefits to the reviewer.""",1,1,0,0,0,0
"Ietto-Gillies, Grazia",2012,The evaluation of research papers in the XXI century. The Open Peer Discussion system of the World Economics Association,FRONTIERS IN COMPUTATIONAL NEUROSCIENCEÿÿVolume:ÿ6,10.3389/fncom.2012.00054,,Article,SSH,"""the Open Peer Review (OPR) system developed by the World Economics Association (WEA) ... is open in the following two respects: (a) disclosure of names of authors and reviewers; and (b) inclusivity of potential reviewers in terms of paradigmatic approaches, country, and community."",","Comments on the posted paper are invited from the membership as well as solicited by the editors from experts in the field. Names of possible commentators may also be suggested by the authors. The comments are screened by the editors and then posted with the name of the commentator unless anonymity is requested. The authors can respond to the comments and their response will be posted with attribution., ""A Post-Publication Commentary section is open on the journal. Post-publication comments are sent to the editors who will decide whether to post them or not.""",1,1,0,1,1,0
"Vinther, Siri; Nielsen, Ole Haagen; Rosenberg, Jacob; et al.",2012,"Same review quality in open versus blinded peer review in ""Ugeskrift for Laeger""",DANISH MEDICAL JOURNALÿÿVolume:ÿ59ÿÿÿIssue:ÿ8ÿÿÿÿÿArticle Number:ÿA4479,http://www.danmedj.dk/portal/page/portal/danmedj.dk/dmj_forside/PAST_ISSUE/2012/DMJ_2012_08/A4479,Journal articles,Article,STEM,,"""The objective of this study was to compare the quality of reviews produced by identifiable and anonymous reviewers, respectively.""",1,0,0,0,0,0
"Poeschl, Ulrich",2012,Multi-stageÿopen peer review: scientific evaluation integrating the strengths of traditional peer review with the virtues of transparency and self-regulation,FRONTIERS IN COMPUTATIONAL NEUROSCIENCEÿÿVolume:ÿ6ÿÿÿÿÿArticle Number:ÿ33,10.3389/fncom.2012.00033,Journal articles,Article,STEM,"""Multi-stage OPR"" - ""(1) Publication of discussion papers before full peer review and revision: free speech, rapid publication, and public accountability of authors for their original manuscript foster innovation and deter careless submissions.
 (2) Integration of public peer review and interactive discussion prior to final publication: attract more comments than post-peer review commenting, enhance efficiency, and transparency of quality assurance, maximize information density of final papers.
 (3) Optional anonymity for designated referees: enables critical comments and questions by referees who might be reluctant to risk appearing ignorant or disrespectful ? especially when providing a voluntary community service in which they have little to gain for investing lots of effort and time.
 (4) Archiving, public accessibility, and citability of every discussion paper and interactive comment: ensure documentation of controversial scientific innovations or flaws, public recognition of commentators? contributions, and deterrence of careless submissions.","""Open access is fully compatible with traditional peer review, and in addition it enables interactive and transparent forms of review and discussion open to all interested members of the scientific community and the public (open peer review).""",1,1,1,1,1,0
"Clark, Kristen; Tamayne, Lisa; Berry, Carol",2012,Perceived challenges toÿopen peer reviewÿand opportunities for education,CURRENT MEDICAL RESEARCH AND OPINIONÿÿVolume:ÿ28ÿÿÿSupplement:ÿ1ÿÿÿPages:ÿS14-S14,http://www.ismpp.org/assets/docs/Education/AnnualMeeting/8thAM/PosterPresentations/perceived%20challenges%20to%20open-peer%20review%20and%20opportunities%20for%20education%20clark.pdf,Journal articles,Article,Interdisciplinary,"""Open-peer review, defined as a transparent process whereby the identities of those reviewing scientific publications are disclosed to authors""",,1,0,0,0,0,0
"Sandewall, Erik",2012,Maintaining live discussion in two-stageÿopen peer review,FRONTIERS IN COMPUTATIONAL NEUROSCIENCEÿÿVolume:ÿ6ÿÿÿÿÿArticle Number:ÿ9,10.3389/fncom.2012.00009,Journal articles,Article,STEM,"""The concept of ?open peer review? is presently being used for several fairly different models of peer review. A basic distinction can be made between open-names peer review which is similar to traditional peer review except that the identity of the reviewers is shown openly, and open-process peer review where interested parties are invited to join the peer review process that takes place before an article is accepted for a journal or other similar venue.""","""Open peer review has been proposed for a number of reasons, in particular, for increasing the transparency of the article selection process for a journal, and for obtaining a broader basis both for feedback to the authors, and for the acceptance decision. It has also been proposed that the contents of the reviewers? comments and of the authors? responses to them may in themselves be of interest to the community of researchers in the area of the work, and that they should therefore be published and preserved.""",1,1,1,1,1,0
"Sen, Chandan K.",2012,Rebound Peer Review: A Viable Recourse for Aggrieved Authors?,ANTIOXIDANTS & REDOX SIGNALINGÿÿVolume:ÿ16ÿÿÿIssue:ÿ4ÿÿÿPages:ÿ293-296ÿ,10.1089/ars.2011.4424,Journal articles,Article,STEM,"""open peer review has been adopted by a few journals (6). Here, authors know who the reviewers of their work are.""",,1,0,0,0,0,0
"Lee, Christopher",2012,Open peer reviewÿby a selected-papers network,FRONTIERS IN COMPUTATIONAL NEUROSCIENCEÿÿVolume:ÿ6ÿÿÿÿÿArticle Number:ÿ1,10.3389/fncom.2012.00001,Journal articles,Article,Interdisciplinary,,"""Peer review is open (non-anonymous)""",1,0,0,0,0,0
"Janowicz, Krzysztof; Hitzler, Pascal",2012,Open and transparent: the review process of the Semantic Web journal,LEARNED PUBLISHINGÿÿVolume:ÿ25ÿÿÿIssue:ÿ1ÿÿÿPages:ÿ48-55,10.1087/20120107,Journal articles,Article,STEM,,"""reviewers can notify the editors if they want to opt-out of the open review system and stay anonymous"" NOTE: Open Reports termed ""transparency""",1,0,0,0,0,0
"Leek, Jeffrey T.; Taub, Margaret A.; Pineda, Fernando J.",2011,Cooperation between Referees and Authors Increases Peer Review Accuracy,PLOS ONEÿÿVolume:ÿ6ÿÿÿIssue:ÿ11ÿÿÿÿÿArticle Number:ÿe26895,10.1371/journal.pone.0026895,"journals, awarding of grants, and academic promotion",Article,Interdisciplinary,,"""The goal of this study is to determine whether anonymous (closed) or non-anonymous (open) peer review results in more correct research being accepted.""",1,0,0,0,0,0
"Perakakis, Pandelis; Taylor, Michael; Mazza, Marco G.; et al.",2011,"Understanding the role ofÿopen peer reviewÿand dynamic academic articles: Authors' reply to ""Problems with natural selection of academic papers""",SCIENTOMETRICSÿÿVolume:ÿ88ÿÿÿIssue:ÿ2ÿÿÿPages:ÿ669-673ÿ,10.1007/s11192-011-0402-1,Journal articles,Article,Interdisciplinary,,"Open PR is not a new idea and many scholars already support that it is a viable solution to the numerous deficiencies of the current evaluation system [16, 17]. Our model proposes a fully-transparent PR process, whereby reviews by referees are posted online and tagged to the article in question. This allows the implementation of a reviewer evaluation system that will provide motivation for potential reviewers [18]. Referee efforts will be acknowledged and rewarded, thus enhancing their academic standing in the field. Such a mechanism will also help to solve the ??difficult to find reviewers?? and ??time limitation of the reviewers?? problems mentioned by L. Egghe. In our system, writing a good review could be scientifically as beneficial as contributing an original article. Furthermore, open PR will sidestep other serious concerns too, such as reviewers evaluating papers outside their area of expertise, or writing a positive review as a favour, since their review will be subject to open criticism from the scientific community.
 While L. Egghe holds that PR is guided by deontological rules, this is something that is not transparent in a blind PR system. On the contrary, open PR creates a public environment where everyone can judge and where every judgment can be weighted. The NSAP model turns what constitutes a weakness for classical journals into a strength for science and society. In the open environment we advocate, a large scientific community can assess the quality of a manuscript, or even discover frauds or sources of plagiarism a lot more efficiently than is possible today by two or three anonymous and unmotivated reviewers.... The open PR system presents the author with the opportunity to address the problem of visibility by being the driving force seeking reviewers and reviews, which will likely also increase article citation rates. /",1,1,1,1,1,0
"Boldt, Axel",2011,Extending ArXiv.org to AchieveÿOpen Peer Reviewÿand Publishing,JOURNAL OF SCHOLARLY PUBLISHINGÿÿVolume:ÿ42ÿÿÿIssue:ÿ2ÿÿÿPages:ÿ238-242,10.3138/jsp.42.2.238,Journal articles,Article,STEM,,"I propose the following extension to the arXiv.org preprint archive. A new class of users is created, the ?editors?. Each editor works for an electronic journal. Authors, after having uploaded a preprint to the archive, may elect to submit their article for review and official publication in one of these electronic journals. An editor of that journal then decides whether the article is appropriate for the journal in terms of scope and quality. If it is not, this decision is publicly attached to the article and the process ends; if it is, the editor invites one or more referees to write public reviews, to be attached to the article. The article author may subsequently post a public rebuttal to the reviews. Based on the referee reports and rebuttals, the editor decides whether to accept, demand changes to, or reject the article. The original article, reviews, rebuttal and publication decision are published in perpetuity. If accepted, the author posts a final version of the article to arXiv.org; as a peer reviewed and officially published article, it is visibly set apart from mere preprints and added to the electronic journal?s collection of published articles. Rejected articles may be submitted to another electronic journal. Reviews should be signed with the referee?s full name and affiliation. This maximizes transparency and allows referees to receive academic credit for their work.... It will also be desirable to attach a moderated discussion forum to each article, as a natural gathering place of interested researchers. The quality of these forums would serve as a criterion to differentiate electronic journals from each other.",1,1,1,1,1,1
"Groves, Trish",2010,Isÿopen peer reviewÿthe fairest system? Yes,BRITISH MEDICAL JOURNALÿÿVolume:ÿ341ÿÿÿÿÿArticle Number:ÿc6424,10.1136/bmj.c6424,Journal articles,Article,STEM,"Varying definitions of ?open? review include asking a wider community to come to the journal?s website and rate articles.5ÿOpen review at theÿBMJÿcurrently means that all reviewers sign their reports, declare their competing interests, and desist from making additional covert comments to the editors.6ÿ",open peer review at theÿBMJ = OpenID?,1,1,0,1,0,0
"Khan, Karim",2010,Isÿopen peer reviewÿthe fairest system? No,BRITISH MEDICAL JOURNALÿÿVolume:ÿ341ÿÿÿÿÿArticle Number:ÿc6425,10.1136/bmj.c6425,Journal articles,Article,STEM,,"OpenID - ""Open peer review is associated with the risk that an inferior paper written by a senior authority in the field may receive a ?soft? or generous review from a junior reviewer who either seeks to curry favour or fears an honest review would lead to payback at some future time.""",1,0,0,0,0,0
"van Rooyen, Susan; Delamothe, Tony; Evans, Stephen J. W.",2010,Effect on peer review of telling reviewers that their signed reviews might be posted on the web: randomised controlled trial,BRITISH MEDICAL JOURNALÿÿVolume:ÿ341ÿÿÿÿÿArticle Number:ÿc5729,10.1136/bmj.c5729,Journal articles,Article,STEM,,"""signed reviews might be posted on the web"", ""Reviewers who knew that their report might be posted online spent longer on the task than those in the control group, so adopting open peer review might result in the process feeling even more arduous to reviewers than it currently does.""",1,1,0,0,0,0
"Sekhar, D. M. R.; Aery, Naresh Chander",2010,Open Reviewÿof Science Publications,ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCEÿÿVolume:ÿ17ÿÿÿIssue:ÿ5ÿ,10.1080/08989621.2010.511548,Not specified,Article,Interdisciplinary,,"""Even peer reviewed journals may follow open review to improve credibility of the journals by publishing the comment and the identity of the peer.""",1,1,0,0,0,0
